datetime,aqi,pm2_5,pm10,co,no2,o3,so2,month,quarter,hour,season,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2017-11-18 17:00:00,134.0,102.0,124.0,0.7,40.0,72.0,11.0,11,4,17,fall,1.4136962890600002,-17.808418273900003,-11.943145752000001,102438.390625,-25.450012206999997,-17.7999706268,-20.053344726600002,22.224426269499997,16.5243663788,25.9899787903,2.74509525299,-54.5500183105,3.8158862590800005,-17.691204070999998,1.81820678711,11.100000381500001,45.2614860535,-16.338928222699998
2017-11-18 20:00:00,99.0,74.0,120.0,0.8,53.0,23.0,12.0,11,4,20,fall,0.524322509766,-17.1409034729,-11.949981689500001,102443.226562,-25.6500091553,-17.0798835754,-18.873413085899998,20.7746105194,14.6795940399,24.9302520752,3.8977246284500002,-54.7499847412,2.99812245369,-17.377378463699998,0.976043701172,12.9000005722,47.9921989441,-16.5500183105
2017-11-18 23:00:00,115.0,87.0,123.0,1.0,64.0,3.0,12.0,11,4,23,fall,-1.18453979492,-16.6857376099,-11.567230224600001,102483.054688,-25.7499847412,-14.293469429000002,-19.5519161224,19.7849330902,13.214684486400001,25.5030460358,2.49299788475,-55.449996948199995,2.0514721870400003,-17.0714416504,-0.33612060546899997,15.5,48.900302886999995,-16.1782836914
2017-11-19 02:00:00,122.0,92.0,113.0,1.0,55.0,2.0,4.0,11,4,2,fall,-2.56094360352,-12.727953910799998,-11.6060791016,102501.476562,-26.0500183105,-10.9975347519,-18.0000305176,18.555891037000002,11.7929954529,25.4930305481,0.95661252737,-55.6500091553,0.851330518723,-13.1941204071,-0.860046386719,16.8999996185,50.1000404358,-16.540161132799998
2017-11-19 05:00:00,120.0,91.0,124.0,1.4,56.0,3.0,2.0,11,4,5,fall,-3.0706787109400002,-7.90385961533,-11.75,102548.054688,-26.2218933105,-12.173230171199998,-16.3000488281,16.900121688800002,11.8459711075,25.6687145233,-1.19735598564,-55.7224731445,-0.265488266945,-8.49262714386,-1.4448852539100001,17.1000003815,56.0000267029,-17.503677368199998
2017-11-19 08:00:00,119.0,90.0,168.0,1.5,65.0,3.0,3.0,11,4,8,fall,-2.23721313477,-6.10069322586,-12.4821166992,102650.3125,-26.3499908447,-13.077221870399999,-11.0,17.1900672913,12.459328651400002,26.462619781500003,-0.850239217281,-55.64999389649999,0.594321250916,-5.21389865875,-1.90963745117,16.6000003815,59.100025177,-18.3902740479
2017-11-19 11:00:00,82.0,60.0,82.0,1.0,67.0,11.0,7.0,11,4,11,fall,2.69924926758,-6.1297655105599995,-12.9003295898,102604.257812,-27.1499938965,-8.79825210571,-8.60004901886,18.408823013299997,11.989337921099999,26.8485107422,-1.3758617639500001,-54.449996948199995,1.31710445881,-4.25404024124,1.67593383789,11.9771184921,59.9176597595,-18.7257995605
2017-11-19 14:00:00,108.0,81.0,102.0,1.1,81.0,15.0,9.0,11,4,14,fall,5.43740844727,-7.8833127021800005,-13.1501464844,102378.78125,-27.415710449200002,-8.90003967285,-5.0936951637300005,18.5589408875,12.532414436300002,28.238569259600002,0.09109862893819999,-53.3499908447,2.07685065269,-5.215932369230001,4.47845458984,10.3905687332,56.943859100299996,-19.2499847412
2017-11-19 17:00:00,113.0,85.0,111.0,1.0,84.0,3.0,6.0,11,4,17,fall,2.33572387695,-8.82500934601,-12.8594360352,102320.5,-28.5500183105,-10.2000551224,-2.09999394417,13.151939392100001,11.6317062378,21.387527465799998,0.23790039122099998,-52.132751464799995,1.25595450401,-8.9482717514,4.0007324218800004,13.100000381500001,55.3000602722,-20.1500091553
2017-11-19 20:00:00,137.0,104.0,125.0,1.2,76.0,2.0,3.0,11,4,20,fall,0.759857177734,-10.684135437,-12.989349365199999,102328.085938,-28.8500213623,-12.069519043,-4.48629760742,9.26532173157,8.887246131900001,9.735445976260001,1.3267040252700002,-51.7064056396,1.37223875523,-11.385925293,2.2872314453099998,15.4000005722,44.5685653687,-19.5500183105
