datetime,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2015-10-19 23:00:00,13.65,-0.09,14.05,101152.0,6.25,1.69,-1.34,0.05,1.96,2.29,-2.18,-14.85,-1.64,1.21,15.44,54.0,14.8,13.35
2015-10-20 02:00:00,12.75,3.8,10.95,101187.0,5.55002,5.1,0.28,-0.1,0.2,2.4,-2.61,-15.15,-1.53,2.4,13.85,56.2,14.4,12.45
2015-10-20 05:00:00,11.95,3.5,10.65,101271.0,5.45001,7.8,0.09,-0.2,-3.1,5.0,-1.86,-15.45,-1.16,1.6,13.85,60.7,14.6,8.95001
2015-10-20 08:00:00,13.65,5.4,9.45001,101556.0,5.15002,9.4,-0.6,-1.1,-9.9,10.2,-2.12,-15.75,-0.49,6.4,13.25,57.3,15.83,6.25
2015-10-20 11:00:00,14.15,7.9,7.75,101539.0,4.45001,9.77,-1.39,2.6,-7.87,11.8,-3.07,-15.95,-0.22,6.4,13.67,52.6,16.54,7.05002
2015-10-20 14:00:00,14.04,9.1,7.35001,101342.0,6.15002,8.6,-2.1,7.1,-7.9,14.3,-3.4,-15.65,-0.31,5.5,13.57,34.5,19.8,7.95001
2015-10-20 17:00:00,13.95,9.1,7.65002,101269.0,7.15002,5.6,-5.47,6.0,-7.9,14.9,-2.3,-14.85,-2.91,3.4,13.55,31.9,20.4,7.95001
2015-10-20 20:00:00,13.15,9.8,7.15002,101373.0,7.55002,5.2,-4.4,5.9,-9.1,15.0,-1.1,-14.45,-3.4,2.2,12.82,25.2,19.3,7.55002
2015-10-20 23:00:00,12.75,8.8,6.25,101529.0,5.15002,4.7,-3.71,6.7,-8.4,13.0,-2.45,-14.65,-2.37,1.9,12.31,33.1,20.8,7.75
2015-10-21 02:00:00,11.25,7.4,4.75,101565.0,4.35001,3.5,-3.1,5.1,-7.1,9.7,-3.19,-14.45,-3.25,2.1,10.68,46.0,23.1,6.95001
2015-10-21 05:00:00,11.05,2.3,5.35001,101637.0,4.45001,-2.6,-1.04,3.6,-5.0,7.9,-1.99,-14.35,-3.02,-1.5,10.59,54.8,23.7,6.65002
2015-10-21 08:00:00,10.53,1.7,4.65002,101905.0,2.75,-0.6,0.1,2.8,-5.5,7.3,-2.73,-14.25,-1.73,-4.9,9.78,53.3,22.7,6.05002
2015-10-21 11:00:00,11.05,-1.8,5.45001,102062.0,1.75,0.9,1.8,0.5,-5.0,4.4,-2.66,-14.05,-1.12,-3.3,10.19,55.1,23.2,4.95001
2015-10-21 14:00:00,10.21,-1.5,4.95001,102063.0,1.85001,3.2,3.72,-4.1,-7.6,6.2,-3.2,-14.35,-0.45,-1.5,9.51001,64.7,23.4,3.25
2015-10-21 17:00:00,10.15,-1.1,5.15002,102111.0,1.55002,3.2,4.16,-6.1,-9.18,6.7,-0.11,-14.25,-1.95,-1.9,9.57999,67.6,23.3,3.25
2015-10-21 20:00:00,10.35,1.7,5.65002,102187.0,0.850006,4.3,7.38,-6.8,-8.2,3.7,0.48,-14.25,-0.2,0.2,9.89001,61.1,24.2,3.55002
2015-10-21 23:00:00,10.85,4.8,5.55002,102193.0,0.550018,5.51,3.21,-2.5,-7.1,5.29,0.46,-14.35,-0.88,2.0,10.53,59.4,22.5,3.25
